Date,GoogleTrend
2020-10-15,54
2020-10-16,47
2020-10-17,38
2020-10-18,35
2020-10-19,43
2020-10-20,43
2020-10-21,58
2020-10-22,51
2020-10-23,44
2020-10-24,36
2020-10-25,31
2020-10-26,40
2020-10-27,36
2020-10-28,37
2020-10-29,36
2020-10-30,38
2020-10-31,32
2020-11-01,26
2020-11-02,35
2020-11-03,35
2020-11-04,21
2020-11-05,25
2020-11-06,35
2020-11-07,28
2020-11-08,28
2020-11-09,40
2020-11-10,35
2020-11-11,35
2020-11-12,32
2020-11-13,35
2020-11-14,30
2020-11-15,28
2020-11-16,42
2020-11-17,63
2020-11-18,52
2020-11-19,51
2020-11-20,46
2020-11-21,32
2020-11-22,30
2020-11-23,44
2020-11-24,57
2020-11-25,58
2020-11-26,38
